epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3736.4,1.29284,1.15099,1.11616,0.58261,0.66337,0.66653,0.38022,1.53048,1.33592,1.21145,0.006238,0.006238,0.006238
40,3827.31,1.33995,1.12718,1.09449,0.68004,0.65842,0.72302,0.40221,1.53689,1.23805,1.20076,0.006139,0.006139,0.006139
41,3917.89,1.42968,1.41573,1.32805,0.7125,0.64851,0.72484,0.38573,1.63303,1.2329,1.23803,0.00604,0.00604,0.00604
42,4009.83,1.30214,1.15213,1.11504,0.72985,0.62859,0.69179,0.3827,1.56143,1.26457,1.21524,0.005941,0.005941,0.005941
43,4101.16,1.23577,1.09945,1.08981,0.66707,0.64473,0.68461,0.37183,1.55598,1.27113,1.22338,0.005842,0.005842,0.005842
44,4190.95,1.30914,1.09107,1.10857,0.74207,0.61243,0.69089,0.39852,1.50889,1.23837,1.18985,0.005743,0.005743,0.005743
45,4281.74,1.18085,1.44201,1.09061,0.67498,0.62713,0.68116,0.39388,1.51041,1.23296,1.17603,0.005644,0.005644,0.005644
46,4372.62,1.22486,1.1329,1.12337,0.68617,0.66027,0.68606,0.38644,1.55994,1.23864,1.19561,0.005545,0.005545,0.005545
47,4463.03,1.25217,1.05361,1.0744,0.68026,0.63861,0.66576,0.3749,1.53791,1.24386,1.20037,0.005446,0.005446,0.005446
48,4553.21,1.26426,1.13048,1.08134,0.60255,0.66337,0.63631,0.35343,1.45745,1.29399,1.15933,0.005347,0.005347,0.005347
49,4646.13,1.28206,1.1414,1.08428,0.64153,0.66446,0.65934,0.36403,1.5614,1.26761,1.21166,0.005248,0.005248,0.005248
50,4739.88,1.13815,1.05053,1.06741,0.74928,0.60891,0.69116,0.40242,1.48348,1.21245,1.17754,0.005149,0.005149,0.005149
51,4830.34,1.26326,1.05529,1.09784,0.74686,0.64851,0.70466,0.40129,1.50356,1.19272,1.19286,0.00505,0.00505,0.00505
52,4922.91,1.15501,0.94822,1.03564,0.65605,0.58911,0.64906,0.36874,1.51821,1.33817,1.18545,0.004951,0.004951,0.004951
53,5016.1,1.20436,0.9623,1.0675,0.75231,0.58416,0.70257,0.39647,1.50117,1.18041,1.17559,0.004852,0.004852,0.004852
54,5105.56,1.14986,1.20296,1.11206,0.65304,0.62871,0.67303,0.33527,1.73301,1.26547,1.29696,0.004753,0.004753,0.004753
55,5194.29,1.14235,0.96343,1.05683,0.73183,0.60796,0.71315,0.38955,1.54971,1.22787,1.20367,0.004654,0.004654,0.004654
56,5285.46,1.19211,0.92147,1.04274,0.67538,0.59738,0.64855,0.34145,1.64503,1.26577,1.26654,0.004555,0.004555,0.004555
57,5392.22,1.11195,0.90393,1.02463,0.67048,0.61881,0.64957,0.36498,1.5433,1.26431,1.21136,0.004456,0.004456,0.004456
58,5486.91,1.16033,0.97568,1.0639,0.64465,0.59901,0.64477,0.36062,1.55533,1.30188,1.2232,0.004357,0.004357,0.004357
59,5585.43,1.12449,0.99,1.04895,0.69763,0.57426,0.64224,0.35292,1.58933,1.31681,1.22445,0.004258,0.004258,0.004258
60,5676.68,1.15026,1.05436,1.12631,0.73521,0.58416,0.67823,0.37778,1.55119,1.2746,1.21433,0.004159,0.004159,0.004159
61,5765.52,1.17276,1.18603,1.09169,0.72348,0.58911,0.67317,0.37418,1.58295,1.24112,1.23663,0.00406,0.00406,0.00406
62,5856.51,1.06492,0.83563,1.00892,0.69491,0.64272,0.71077,0.37028,1.57763,1.22937,1.25787,0.003961,0.003961,0.003961
63,5949.1,1.14345,0.92747,1.02094,0.7322,0.63618,0.71072,0.3783,1.56525,1.22709,1.24137,0.003862,0.003862,0.003862
64,6044.61,1.07936,0.89952,1.05079,0.67523,0.63813,0.69651,0.37352,1.56894,1.23145,1.24218,0.003763,0.003763,0.003763
65,6136.31,1.04004,0.81618,1.0012,0.70771,0.62871,0.69266,0.36775,1.59461,1.23955,1.25562,0.003664,0.003664,0.003664
66,6236.08,1.13244,0.89182,1.02805,0.71424,0.63861,0.69525,0.37552,1.55145,1.20826,1.2178,0.003565,0.003565,0.003565
67,6341.14,1.07069,0.84608,1.00987,0.69945,0.64851,0.69562,0.37289,1.54327,1.21307,1.21887,0.003466,0.003466,0.003466
68,6436.03,1.06708,0.857,0.98744,0.74182,0.64356,0.71415,0.38874,1.54783,1.17627,1.21109,0.003367,0.003367,0.003367
69,6527.39,1.13219,0.916,1.05561,0.735,0.64535,0.71798,0.39739,1.53285,1.17501,1.19835,0.003268,0.003268,0.003268
70,6625.88,1.15777,0.90798,1.03036,0.74667,0.62744,0.72476,0.3944,1.57324,1.15552,1.22963,0.003169,0.003169,0.003169
